Time (s),Identifier,Duration
1.5101562500e+001,32769,0.0000000000e+000
1.5101562500e+001,32777,0.0000000000e+000
1.8093750000e+001,32778,0.0000000000e+000
1.8093750000e+001,32773,0.0000000000e+000
1.8093750000e+001,32771,0.0000000000e+000
1.8093750000e+001,33032,0.0000000000e+000
1.8093750000e+001,32779,0.0000000000e+000
1.8296875000e+001,32780,0.0000000000e+000
1.8398437500e+001,33028,0.0000000000e+000
1.8398437500e+001,32779,0.0000000000e+000
1.8593750000e+001,32780,0.0000000000e+000
1.8695312500e+001,33033,0.0000000000e+000
1.8695312500e+001,32779,0.0000000000e+000
1.8898437500e+001,32780,0.0000000000e+000
1.9000000000e+001,33029,0.0000000000e+000
1.9000000000e+001,32779,0.0000000000e+000
1.9195312500e+001,32780,0.0000000000e+000
1.9296875000e+001,33031,0.0000000000e+000
1.9296875000e+001,32779,0.0000000000e+000
1.9500000000e+001,32780,0.0000000000e+000
1.9593750000e+001,33026,0.0000000000e+000
1.9593750000e+001,32779,0.0000000000e+000
1.9796875000e+001,32780,0.0000000000e+000
1.9898437500e+001,33034,0.0000000000e+000
1.9898437500e+001,32779,0.0000000000e+000
2.0093750000e+001,32780,0.0000000000e+000
2.0195312500e+001,33030,0.0000000000e+000
2.0195312500e+001,32779,0.0000000000e+000
2.0398437500e+001,32780,0.0000000000e+000
2.0500000000e+001,33035,0.0000000000e+000
2.0500000000e+001,32779,0.0000000000e+000
2.0695312500e+001,32780,0.0000000000e+000
2.0796875000e+001,33025,0.0000000000e+000
2.0796875000e+001,32779,0.0000000000e+000
2.1000000000e+001,32780,0.0000000000e+000
2.1093750000e+001,33036,0.0000000000e+000
2.1093750000e+001,32779,0.0000000000e+000
2.1296875000e+001,32780,0.0000000000e+000
2.1398437500e+001,33027,0.0000000000e+000
2.1398437500e+001,32779,0.0000000000e+000
2.1593750000e+001,32780,0.0000000000e+000
2.1695312500e+001,32772,0.0000000000e+000
2.2695312500e+001,32771,0.0000000000e+000
2.2695312500e+001,33033,0.0000000000e+000
2.2695312500e+001,32779,0.0000000000e+000
2.2898437500e+001,32780,0.0000000000e+000
2.3000000000e+001,33027,0.0000000000e+000
2.3000000000e+001,32779,0.0000000000e+000
2.3195312500e+001,32780,0.0000000000e+000
2.3296875000e+001,33034,0.0000000000e+000
2.3296875000e+001,32779,0.0000000000e+000
2.3500000000e+001,32780,0.0000000000e+000
2.3593750000e+001,33028,0.0000000000e+000
2.3593750000e+001,32779,0.0000000000e+000
2.3796875000e+001,32780,0.0000000000e+000
2.3898437500e+001,33036,0.0000000000e+000
2.3898437500e+001,32779,0.0000000000e+000
2.4093750000e+001,32780,0.0000000000e+000
2.4195312500e+001,33029,0.0000000000e+000
2.4195312500e+001,32779,0.0000000000e+000
2.4398437500e+001,32780,0.0000000000e+000
2.4500000000e+001,33032,0.0000000000e+000
2.4500000000e+001,32779,0.0000000000e+000
2.4695312500e+001,32780,0.0000000000e+000
2.4796875000e+001,33030,0.0000000000e+000
2.4796875000e+001,32779,0.0000000000e+000
2.5000000000e+001,32780,0.0000000000e+000
2.5093750000e+001,33035,0.0000000000e+000
2.5093750000e+001,32779,0.0000000000e+000
2.5296875000e+001,32780,0.0000000000e+000
2.5398437500e+001,33025,0.0000000000e+000
2.5398437500e+001,32779,0.0000000000e+000
2.5593750000e+001,32780,0.0000000000e+000
2.5695312500e+001,33031,0.0000000000e+000
2.5695312500e+001,32779,0.0000000000e+000
2.5898437500e+001,32780,0.0000000000e+000
2.6000000000e+001,33026,0.0000000000e+000
2.6000000000e+001,32779,0.0000000000e+000
2.6195312500e+001,32780,0.0000000000e+000
2.6296875000e+001,32772,0.0000000000e+000
2.7296875000e+001,32771,0.0000000000e+000
2.7296875000e+001,33032,0.0000000000e+000
2.7296875000e+001,32779,0.0000000000e+000
2.7500000000e+001,32780,0.0000000000e+000
2.7593750000e+001,33025,0.0000000000e+000
2.7593750000e+001,32779,0.0000000000e+000
2.7796875000e+001,32780,0.0000000000e+000
2.7898437500e+001,33033,0.0000000000e+000
2.7898437500e+001,32779,0.0000000000e+000
2.8093750000e+001,32780,0.0000000000e+000
2.8195312500e+001,33029,0.0000000000e+000
2.8195312500e+001,32779,0.0000000000e+000
2.8398437500e+001,32780,0.0000000000e+000
2.8500000000e+001,33036,0.0000000000e+000
2.8500000000e+001,32779,0.0000000000e+000
2.8695312500e+001,32780,0.0000000000e+000
2.8796875000e+001,33026,0.0000000000e+000
2.8796875000e+001,32779,0.0000000000e+000
2.9000000000e+001,32780,0.0000000000e+000
2.9093750000e+001,33035,0.0000000000e+000
2.9093750000e+001,32779,0.0000000000e+000
2.9296875000e+001,32780,0.0000000000e+000
2.9398437500e+001,33030,0.0000000000e+000
2.9398437500e+001,32779,0.0000000000e+000
2.9593750000e+001,32780,0.0000000000e+000
2.9695312500e+001,33034,0.0000000000e+000
2.9695312500e+001,32779,0.0000000000e+000
2.9898437500e+001,32780,0.0000000000e+000
3.0000000000e+001,33028,0.0000000000e+000
3.0000000000e+001,32779,0.0000000000e+000
3.0195312500e+001,32780,0.0000000000e+000
3.0296875000e+001,33031,0.0000000000e+000
3.0296875000e+001,32779,0.0000000000e+000
3.0500000000e+001,32780,0.0000000000e+000
3.0593750000e+001,33027,0.0000000000e+000
3.0593750000e+001,32779,0.0000000000e+000
3.0796875000e+001,32780,0.0000000000e+000
3.0898437500e+001,32772,0.0000000000e+000
3.1898437500e+001,32771,0.0000000000e+000
3.1898437500e+001,33036,0.0000000000e+000
3.1898437500e+001,32779,0.0000000000e+000
3.2093750000e+001,32780,0.0000000000e+000
3.2195312500e+001,33028,0.0000000000e+000
3.2195312500e+001,32779,0.0000000000e+000
3.2398437500e+001,32780,0.0000000000e+000
3.2500000000e+001,33035,0.0000000000e+000
3.2500000000e+001,32779,0.0000000000e+000
3.2695312500e+001,32780,0.0000000000e+000
3.2796875000e+001,33027,0.0000000000e+000
3.2796875000e+001,32779,0.0000000000e+000
3.3000000000e+001,32780,0.0000000000e+000
3.3093750000e+001,33034,0.0000000000e+000
3.3093750000e+001,32779,0.0000000000e+000
3.3296875000e+001,32780,0.0000000000e+000
3.3398437500e+001,33025,0.0000000000e+000
3.3398437500e+001,32779,0.0000000000e+000
3.3593750000e+001,32780,0.0000000000e+000
3.3695312500e+001,33032,0.0000000000e+000
3.3695312500e+001,32779,0.0000000000e+000
3.3898437500e+001,32780,0.0000000000e+000
3.4000000000e+001,33030,0.0000000000e+000
3.4000000000e+001,32779,0.0000000000e+000
3.4195312500e+001,32780,0.0000000000e+000
3.4296875000e+001,33033,0.0000000000e+000
3.4296875000e+001,32779,0.0000000000e+000
3.4500000000e+001,32780,0.0000000000e+000
3.4593750000e+001,33029,0.0000000000e+000
3.4593750000e+001,32779,0.0000000000e+000
3.4796875000e+001,32780,0.0000000000e+000
3.4898437500e+001,33031,0.0000000000e+000
3.4898437500e+001,32779,0.0000000000e+000
3.5093750000e+001,32780,0.0000000000e+000
3.5195312500e+001,33026,0.0000000000e+000
3.5195312500e+001,32779,0.0000000000e+000
3.5398437500e+001,32780,0.0000000000e+000
3.5500000000e+001,32772,0.0000000000e+000
3.6500000000e+001,32771,0.0000000000e+000
3.6500000000e+001,33031,0.0000000000e+000
