Time (s),Identifier,Duration
2.2031250000e+000,32769,0.0000000000e+000
2.4062500000e+000,32777,0.0000000000e+000
2.6015625000e+000,32778,0.0000000000e+000
2.8046875000e+000,32773,0.0000000000e+000
3.0000000000e+000,32771,0.0000000000e+000
3.2031250000e+000,33032,0.0000000000e+000
3.4062500000e+000,32779,0.0000000000e+000
3.6015625000e+000,32780,0.0000000000e+000
3.8046875000e+000,33028,0.0000000000e+000
4.0000000000e+000,32779,0.0000000000e+000
4.2031250000e+000,32780,0.0000000000e+000
4.4062500000e+000,33033,0.0000000000e+000
4.6015625000e+000,32779,0.0000000000e+000
4.8046875000e+000,32780,0.0000000000e+000
5.0000000000e+000,33029,0.0000000000e+000
5.2031250000e+000,32779,0.0000000000e+000
5.4062500000e+000,32780,0.0000000000e+000
5.6015625000e+000,33031,0.0000000000e+000
5.8046875000e+000,32779,0.0000000000e+000
6.0000000000e+000,32780,0.0000000000e+000
6.2031250000e+000,33026,0.0000000000e+000
6.4062500000e+000,32779,0.0000000000e+000
6.6015625000e+000,32780,0.0000000000e+000
6.8046875000e+000,33034,0.0000000000e+000
7.0000000000e+000,32779,0.0000000000e+000
7.2031250000e+000,32780,0.0000000000e+000
7.4062500000e+000,33030,0.0000000000e+000
7.6015625000e+000,32779,0.0000000000e+000
7.8046875000e+000,32780,0.0000000000e+000
8.0000000000e+000,33035,0.0000000000e+000
8.2031250000e+000,32779,0.0000000000e+000
8.4062500000e+000,32780,0.0000000000e+000
8.6015625000e+000,33025,0.0000000000e+000
8.8046875000e+000,32779,0.0000000000e+000
9.0000000000e+000,32780,0.0000000000e+000
9.2031250000e+000,33036,0.0000000000e+000
9.4062500000e+000,32779,0.0000000000e+000
9.6015625000e+000,32780,0.0000000000e+000
9.8046875000e+000,33027,0.0000000000e+000
1.0000000000e+001,32779,0.0000000000e+000
1.0203125000e+001,32780,0.0000000000e+000
1.0406250000e+001,32772,0.0000000000e+000
1.0601562500e+001,32771,0.0000000000e+000
1.0804687500e+001,33033,0.0000000000e+000
1.1000000000e+001,32779,0.0000000000e+000
1.1203125000e+001,32780,0.0000000000e+000
1.1406250000e+001,33027,0.0000000000e+000
1.1601562500e+001,32779,0.0000000000e+000
1.1804687500e+001,32780,0.0000000000e+000
1.2000000000e+001,33034,0.0000000000e+000
1.4406250000e+001,32779,0.0000000000e+000
1.4601562500e+001,32780,0.0000000000e+000
1.4804687500e+001,33028,0.0000000000e+000
1.5000000000e+001,32779,0.0000000000e+000
1.5203125000e+001,32780,0.0000000000e+000
1.5406250000e+001,33036,0.0000000000e+000
1.5601562500e+001,32779,0.0000000000e+000
1.5804687500e+001,32780,0.0000000000e+000
1.6000000000e+001,33029,0.0000000000e+000
1.6203125000e+001,32779,0.0000000000e+000
1.6406250000e+001,32780,0.0000000000e+000
1.6601562500e+001,33032,0.0000000000e+000
1.6804687500e+001,32779,0.0000000000e+000
1.7000000000e+001,32780,0.0000000000e+000
1.7203125000e+001,33030,0.0000000000e+000
1.7406250000e+001,32779,0.0000000000e+000
1.7601562500e+001,32780,0.0000000000e+000
1.7804687500e+001,33035,0.0000000000e+000
1.8000000000e+001,32779,0.0000000000e+000
1.8203125000e+001,32780,0.0000000000e+000
1.8406250000e+001,33025,0.0000000000e+000
1.8601562500e+001,32779,0.0000000000e+000
1.8804687500e+001,32780,0.0000000000e+000
1.9000000000e+001,33031,0.0000000000e+000
1.9203125000e+001,32779,0.0000000000e+000
1.9406250000e+001,32780,0.0000000000e+000
1.9601562500e+001,33026,0.0000000000e+000
1.9804687500e+001,32779,0.0000000000e+000
2.0000000000e+001,32780,0.0000000000e+000
2.0203125000e+001,32772,0.0000000000e+000
2.0406250000e+001,32771,0.0000000000e+000
2.0601562500e+001,33032,0.0000000000e+000
2.0804687500e+001,32779,0.0000000000e+000
2.1000000000e+001,32780,0.0000000000e+000
2.1203125000e+001,33025,0.0000000000e+000
2.1406250000e+001,32779,0.0000000000e+000
2.1601562500e+001,32780,0.0000000000e+000
2.1804687500e+001,33033,0.0000000000e+000
2.2000000000e+001,32779,0.0000000000e+000
2.2203125000e+001,32780,0.0000000000e+000
2.2406250000e+001,33029,0.0000000000e+000
2.2601562500e+001,32779,0.0000000000e+000
2.2804687500e+001,32780,0.0000000000e+000
2.3000000000e+001,33036,0.0000000000e+000
2.3203125000e+001,32779,0.0000000000e+000
2.3406250000e+001,32780,0.0000000000e+000
2.3601562500e+001,33026,0.0000000000e+000
2.3804687500e+001,32779,0.0000000000e+000
2.4000000000e+001,32780,0.0000000000e+000
2.4203125000e+001,33035,0.0000000000e+000
